rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_disc,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,rowupdate,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_plxblend,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_pm,st_pmerr,st_pmlim,st_pmblend,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggblend,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_dens,st_denserr1,st_denserr2,st_denslim,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metfeblend,st_age,st_ageerr1,st_ageerr2,st_agelim,st_metratio,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_vsiniblend,st_acts,st_actserr,st_actslim,st_actsblend,st_actr,st_actrerr,st_actrlim,st_actrblend,st_actlx,st_actlxerr,st_actlxlim,st_actlxblend,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_ujerr,st_ujlim,st_ujblend,st_bj,st_bjerr,st_bjlim,st_bjblend,st_rc,st_rcerr,st_rclim,st_rcblend,st_ic,st_icerr,st_iclim,st_icblend,st_j,st_jerr,st_jlim,st_jblend,st_h,st_herr,st_hlim,st_hblend,st_k,st_kerr,st_klim,st_kblend,st_wise1,st_wise1err,st_wise1lim,st_wise1blend,st_wise2,st_wise2err,st_wise2lim,st_wise2blend,st_wise3,st_wise3err,st_wise3lim,st_wise3blend,st_wise4,st_wise4err,st_wise4lim,st_wise4blend,st_irac1,st_irac1err,st_irac1lim,st_irac1blend,st_irac2,st_irac2err,st_irac2lim,st_irac2blend,st_irac3,st_irac3err,st_irac3lim,st_irac3blend,st_irac4,st_irac4err,st_irac4lim,st_irac4blend,st_mips1,st_mips1err,st_mips1lim,st_mips1blend,st_mips2,st_mips2err,st_mips2lim,st_mips2blend,st_mips3,st_mips3err,st_mips3lim,st_mips3blend,st_iras1,st_iras1err,st_iras1lim,st_iras1blend,st_iras2,st_iras2err,st_iras2lim,st_iras2blend,st_iras3,st_iras3err,st_iras3lim,st_iras3blend,st_iras4,st_iras4err,st_iras4lim,st_iras4blend,st_photn,st_umbj,st_umbjerr,st_umbjlim,st_umbjblend,st_bmvj,st_bmvjerr,st_bmvjlim,st_bmvjblend,st_vjmic,st_vjmicerr,st_vjmiclim,st_vjmicblend,st_vjmrc,st_vjmrcerr,st_vjmrclim,st_vjmrcblend,st_jmh2,st_jmh2err,st_jmh2lim,st_jmh2blend,st_hmk2,st_hmk2err,st_hmk2lim,st_hmk2blend,st_jmk2,st_jmk2err,st_jmk2lim,st_jmk2blend,st_bmy,st_bmyerr,st_bmylim,st_bmyblend,st_m1,st_m1err,st_m1lim,st_m1blend,st_c1,st_c1err,st_c1lim,st_c1blend,st_colorn
1,11 Com,b,Radial Velocity,1,326.03,0.32,-0.32,0,1.29,0.05,-0.05,0,0.231,0.005,-0.005,0,,,,,19.4,1.5,-1.5,0,,,,,,,,,,,,,0,0,185.179276,17.792868,110.62,9.61,-11.63,0,4.74,,0,0,4742,100,-100,0,0,2.7,0.3,-0.3,0,0,19,2,-2,0,0,HD 107383,HIP 60202,11 Com b,0,1,0,0,0,0,2452899.6,1.6,-1.6,0,94.8,1.5,-1.5,0,302.8,2.6,-2.6,0,,,,,,,,,,,,,6165.6,476.7,-476.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,3,0,20,17,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,2/22/13,12.34528503,264.140892,78.280522,177.422388,18.333765,9.04,0.86,-0.86,0,0,-108.8,1,0,90.5,0.9,0,141.5,1.3,0,0,,,,,,5,K0 III,,0,0,2.31,0.1,-0.1,0,0,2.243,0.071,-0.085,0,0,,,,,-0.35,0.09,-0.09,0,0,,,,,[Fe/H],1.2,1,-1,0,0,,,,,,,,,,,,,,3,0,1,2,0,3,0,6.54,,0,0,5.75,,0,0,,,,,,,,,2.943,0.334,0,0,2.484,0.268,0,0,2.282,0.346,0,0,0.639,,-1,1,0.732,,-1,1,2.358,0.01,0,0,2.27,0.018,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83E+00,5.40E-02,0,1,1.87E+00,1.09E-01,0,1,1.18E+00,,1,1,-9.16E-01,,1,1,19,0.79,,0,0,1.01,,0,0,,,,,,,,,0.459,0.428,0,0,0.202,0.438,0,0,0.661,0.481,0,0,,,,,,,,,,,,,7
2,11 UMi,b,Radial Velocity,1,516.22,3.25,-3.25,0,1.54,0.07,-0.07,0,0.08,0.03,-0.03,0,,,,,10.5,2.47,-2.47,0,,,,,,,,,,,,,0,0,229.274536,71.823898,119.47,6.22,-6.95,0,5.016,0.009,0,0,4340,70,-70,0,0,1.8,0.25,-0.25,0,0,24.08,1.84,-1.84,0,0,HD 136726,HIP 74793,11 UMi b,0,1,0,0,0,0,2452861.04,2.06,-2.06,0,117.63,21.06,-21.06,0,189.7,7.15,-7.15,0,,,,,,,,,,,,,3337.07,785.01,-785.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,3,0,15,15,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,2/22/13,15.28496908,108.718982,41.044516,141.647144,74.958184,8.37,0.46,-0.46,0,0,6.1,1.1,0,8.3,1.3,0,10.3,1.7,0,0,,,,,,5.4,K4 III,,0,0,1.6,0.15,-0.15,0,0,,,,,,,,,,0.04,0.04,-0.04,0,0,1.56,0.54,-0.54,0,[Fe/H],1.5,,,0,0,,,,,,,,,,,,,,2,0,1,1,0,3,0,,,,,6.385,0.015,0,0,,,,,,,,,2.876,0.23,0,0,2.091,0.194,0,0,1.939,0.27,0,0,-0.29,,-1,1,0.143,,-1,1,1.894,0.012,0,0,1.787,0.013,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34E+00,5.40E-02,0,0,1.35E+00,6.50E-02,0,0,1.18E+00,,1,0,-9.16E-01,,1,0,16,,,,,1.369,0.017,0,0,,,,,,,,,0.785,0.301,0,0,0.152,0.332,0,0,0.937,0.355,0,0,,,,,,,,,,,,,5
3,14 And,b,Radial Velocity,1,185.84,0.23,-0.23,0,0.83,,,0,0,,,0,,,,,4.8,,,0,,,,,,,,,,,,,0,0,352.822571,39.236198,76.39,3.93,-4.38,0,,,,,4813,20,-20,0,0,2.2,0.1,-0.2,0,0,11,1,-1,0,0,HD 221345,HIP 116076,14 And b,0,1,0,0,0,0,2452861.4,1.5,-1.5,0,0,,,0,100,1.3,-1.3,0,,,,,,,,,,,,,1525.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,3,0,20,19,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,2/25/13,23.52150472,106.411558,-21.05061,11.962116,38.229937,13.09,0.71,-0.71,0,0,287.7,1.1,0,-83.6,1.1,0,299.6,1.6,0,0,,,,,,4.8,G8 III,,0,0,2.63,0.07,-0.07,0,0,1.763,,,0,0,,,,,-0.24,0.03,-0.03,0,0,,,,,[Fe/H],2.6,,,0,0,0.095,0.004,0,0,,,,,,,,,,2,0,1,1,0,3,0,7.1,,0,0,6.24,,0,0,,,,,,,,,3.019,0.18,0,0,2.608,0.184,0,0,2.331,0.24,0,0,1.592,,-1,1,2.545,0.524,0,1,2.719,0.016,0,0,2.719,0.023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20E+00,1.31E-01,0,0,2.32E+00,1.20E-01,0,0,1.18E+00,,1,0,-9.16E-01,,1,0,20,0.86,,0,0,1.02,,0,0,,,,,,,,,0.411,0.257,0,0,0.277,0.302,0,0,0.688,0.3,0,0,,,,,,,,,,,,,7
4,14 Her,b,Radial Velocity,1,1773.4,2.5,-2.5,0,2.77,0.05,-0.05,0,0.369,0.005,-0.005,0,,,,,4.64,0.19,-0.19,0,,,,,,,,,,,,,0,0,242.601303,43.817646,18.15,0.19,-0.2,0,6.61,0.02,0,0,5311,87,-87,0,0,0.9,0.05,-0.05,0,0,,,,,0,HD 145675,HIP 79248,14 Her b,0,1,0,0,0,0,2451372.7,3.6,-3.6,0,22.6,0.9,-0.9,0,90,0.5,-0.5,0,,,,,,,,,,,,,1474.67,60.39,-60.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,3,0,59,34,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,2/25/13,16.17342021,69.170376,46.944999,223.248728,62.879798,55.11,0.59,-0.59,0,0,132.6,1,0,-297,1.1,0,325.3,1.5,0,0,,,,,0,5,K0 V,,0,0,,,,,0,,,,,0,,,,,0.43,0.08,-0.08,0,0,,,,0,[Fe/H],1.6,0.5,-0.5,0,0,0.161,0.021,0,0,-5.06,,0,0,,,,,,5,0,1,4,0,4,1,,,,,7.49,0.02,0,0,,,,,,,,,5.158,0.029,0,0,4.803,0.016,0,0,4.714,0.016,0,0,4.676,0.173,0,0,4.543,0.086,0,0,4.721,0.014,0,0,4.674,0.025,0,0,,,,,,,,,,,,,,,,,4.73E+00,3.50E-02,0,0,4.62E+00,2.29E-01,0,0,,,,,4.21E+00,1.64E-01,0,0,3.58E+00,,1,0,1.18E+00,,1,0,-9.16E-01,,1,0,24,,,,,0.88,0.01,0,0,,,,,,,,,0.355,0.033,0,0,0.089,0.023,0,0,0.444,0.033,0,0,0.537,0.001,0,0,0.366,0.002,0,0,0.438,0.006,0,0,9
5,16 Cyg B,b,Radial Velocity,1,798.5,1,-1,0,1.681,0.097,-0.097,0,0.681,0.017,-0.017,0,1.68,0.15,-0.15,0,,,,,,,,,,,,,,,,,0,0,295.466553,50.517525,21.41,0.23,-0.23,0,6.25,,0,0,5674,,,0,0,0.99,,,0,0,,,,,0,HD 186427,HIP 96901,16 Cyg B b,0,1,0,0,0,0,2446549.1,6.6,-6.6,0,85.8,2.4,-2.4,0,50.5,1.6,-1.6,0,,,,,,,,,533.93,47.67,-47.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,3,0,52,36,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,2/25/13,19.69777018,83.33646,13.204352,321.21805,69.468372,,,,,,-132,1.2,0,-163,1.2,0,209.7,1.7,0,0,-28.1,0.1,-0.1,0,0,4.25,G2.5 V,,0,0,4.36,,,0,0,,,,,0,,,,,0.038,,,0,0,,,,0,[Fe/H],2.18,,,0,0,0.148,0.019,0,0,-5.08,,0,0,,,,,,5,0,1,4,0,4,3,7.07,,0,0,6.91,,0,0,,,,,,,,,4.993,0.037,0,0,4.695,0.036,0,0,4.651,0.016,0,0,4.773,0.236,0,1,4.568,0.106,0,1,4.926,0.033,0,1,4.713,0.028,0,0,,,,,,,,,,,,,,,,,4.69E+00,3.50E-02,0,0,4.36E+00,4.23E-01,1,0,,,,,,,,,,,,,,,,,,,,,27,0.21,,0,0,0.66,,0,0,,,,,,,,,0.298,0.052,0,0,0.044,0.039,0,0,0.342,0.04,0,0,0.418,0.003,0,0,0.222,0.003,0,0,0.351,0.003,0,0,17
6,18 Del,b,Radial Velocity,1,993.3,3.2,-3.2,0,2.6,,,0,0.08,0.01,-0.01,0,,,,,10.3,,,0,,,,,,,,,,,,,0,0,314.608063,10.839286,73.1,3.56,-3.94,0,,,,,4979,18,-18,0,0,2.3,,,0,0,8.5,,,0,0,HD 199665,HIP 103527,18 Del b,0,1,0,0,0,0,2451672,18,-18,0,166.1,6.5,-6.5,0,119.4,1.3,-1.3,0,,,,,,,,,,,,,3273.5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,3,0,20,17,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,2/25/13,20.97387085,58.691434,-21.974824,320.591213,26.786858,13.68,0.7,-0.7,0,0,-49.5,1,0,-35.1,1,0,60.7,1.4,0,0,,,,,,4.6,G6 III,,0,0,2.82,0.06,-0.06,0,0,1.602,,,0,0,,,,,-0.052,0.023,-0.023,0,0,,,,,[Fe/H],,,,,,,,,,,,,,,,,,,2,0,1,1,0,3,0,,,,,6.43,0.014,0,0,,,,,,,,,4.032,0.236,0,1,3.44,0.186,0,0,3.366,0.204,0,1,3.37,0.373,0,0,2.931,0.416,0,0,3.355,0.013,0,0,3.308,0.025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91E+00,5.40E-02,0,1,2.85E+00,2.43E-01,0,1,1.18E+00,,1,1,-9.56E-01,,1,1,17,,,,,0.924,0.017,0,0,,,,,,,,,0.592,0.3,0,1,0.074,0.276,0,1,0.666,0.312,0,1,,,,,,,,,,,,,5
7,1RXS J160929.1-210524,b,Imaging,1,,,,,330,,,0,,,,,8,1,-1,0,,,,,,,,,,,,,,,,,0,0,242.376266,-21.083036,145,14,-14,0,,,,,4060,300,-200,0,0,0.85,0.2,-0.1,0,0,,,,,0,,,1RXS J160929.1-210524 b,0,0,1,0,0,0,,,,,,,,,,,,,1700,100,-100,0,,,,,3000,300,-300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,3,0,22,7,http://exoplanet.eu/catalog/1rxs1609_b/,,2/25/13,16.15841777,352.890559,22.030427,244.365683,-0.06841,,,,,0,,,,,,,,,,,,,,,,5.7,K7 V,,0,0,,,,,0,-0.37,0.15,-0.15,0,0,,,,,,,,,0,0.005,,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,9.82,0.027,0,0,9.121,0.023,0,0,8.916,0.021,0,0,8.794,0.022,0,0,8.79,0.02,0,0,8.684,0.028,0,0,8.531,0.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,0.699,0.035,0,0,0.205,0.031,0,0,0.904,0.034,0,0,,,,,,,,,,,,,3
8,24 Sex,b,Radial Velocity,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,,,,,1.99,0.26,-0.38,0,,,,,,,,,,,,,0,0,155.86821,-0.902244,74.79,4.57,-5.21,0,6.441,0.01,0,0,5098,44,-44,0,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0,HD 90043,HIP 50887,24 Sex b,0,1,0,0,0,0,2454762,67.3,-172.3,0,9.2,277.9,-165.4,0,40,4.9,-7.8,0,,,,,,,,,,,,,632.46,82.63,-120.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,3,0,13,15,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,2/25/13,10.39121399,245.085309,44.715734,157.99359,-10.198148,13.37,0.87,-0.87,0,0,65.7,0.9,0,-35.1,0.9,0,74.5,1.3,0,0,,,,,,5,K0 IV,,0,0,3.5,0.1,-0.1,0,0,1.164,0.003,-0.003,0,0,,,,,-0.03,0.04,-0.04,0,0,2.7,0.4,-0.4,0,[Fe/H],2.77,0.5,-0.5,0,0,,,,,,,,,,,,,,3,0,1,2,0,3,1,,,,,7.399,0.015,0,0,,,,,,,,,5.292,0.338,0,0,4.486,0.076,0,0,4.285,0.016,0,0,4.094,0.327,0,0,3.598,0.156,0,0,4.254,0.015,0,0,4.201,0.024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80E+00,8.70E-02,0,0,2.56E+00,,1,0,1.10E+00,,1,0,-9.16E-01,,1,0,16,,,,,0.958,0.018,0,0,,,,,,,,,0.806,0.346,0,0,0.201,0.078,0,0,1.007,0.338,0,0,0.572,0.003,0,0,0.342,0.004,0,0,0.427,0.004,0,0,8
9,24 Sex,c,Radial Velocity,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,,,,,0.86,0.35,-0.22,0,,,,,,,,,,,,,0,0,155.86821,-0.902244,74.79,4.57,-5.21,0,6.441,0.01,0,0,5098,44,-44,0,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0,HD 90043,HIP 50887,24 Sex c,0,1,0,0,0,0,2454930,209.9,-96.5,0,220.5,182.2,-320.9,0,14.5,7.5,-3.6,0,,,,,,,,,,,,,273.32,111.24,-69.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,3,0,13,15,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,2/25/13,10.39121399,245.085309,44.715734,157.99359,-10.198148,13.37,0.87,-0.87,0,0,65.7,0.9,0,-35.1,0.9,0,74.5,1.3,0,0,,,,,,5,K0 IV,,0,0,3.5,0.1,-0.1,0,0,1.164,0.003,-0.003,0,0,,,,,-0.03,0.04,-0.04,0,0,2.7,0.4,-0.4,0,[Fe/H],2.77,0.5,-0.5,0,0,,,,,,,,,,,,,,3,0,1,2,0,3,1,,,,,7.399,0.015,0,0,,,,,,,,,5.292,0.338,0,0,4.486,0.076,0,0,4.285,0.016,0,0,4.094,0.327,0,0,3.598,0.156,0,0,4.254,0.015,0,0,4.201,0.024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80E+00,8.70E-02,0,0,2.56E+00,,1,0,1.10E+00,,1,0,-9.16E-01,,1,0,16,,,,,0.958,0.018,0,0,,,,,,,,,0.806,0.346,0,0,0.201,0.078,0,0,1.007,0.338,0,0,0.572,0.003,0,0,0.342,0.004,0,0,0.427,0.004,0,0,8
10,2MASS J01225093-2439505,b,Imaging,1,,,,,52,6,-6,0,,,,,24.5,2.5,-2.5,0,,,,,,,,,,,,,,,,,0,0,20.712242,-24.664049,36,4,-4,0,14.24,0.07,0,0,3530,50,-50,0,0,0.4,0.05,-0.05,0,0,,,,,,,,2MASS J01225093-2439505 b,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,7786.5,794.5,-794.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,3,0,5,4,http://exoplanet.eu/catalog/2m_0122-2439_b/,,8/6/13,1.38081614,195.448767,-82.520166,8.622412,-30.711242,,,,,0,,,,,,,,,,,9.6,0.7,-0.7,0,0,6.35,M3.5 V,,0,0,,,,,,-1.72,0.11,-0.11,0,0,,,,,,,,,,0.12,0.01,-0.01,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,10.084,0.026,0,0,9.47,0.021,0,0,9.198,0.024,0,0,9.022,0.023,0,0,8.857,0.019,0,0,8.747,0.031,0,0,8.298,0.317,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,0.614,0.033,0,0,0.272,0.032,0,0,0.886,0.035,0,0,,,,,,,,,,,,,3
